provisi,Negara,Tanggal,kasus,kematian,pulih,terjangkit
,Indonesia,2020-03-12,34,1,2,
,Indonesia,2021-10-08,4225871,142560,,
,Indonesia,2020-08-12,130718,5903,85798,39017
,Indonesia,2021-08-11,3749446,112198,,
,Indonesia,2020-04-17,5923,520,607,4796
,Indonesia,2020-03-15,117,5,8,
,Indonesia,2022-03-28,6001751,154774,,
,Indonesia,2021-02-03,1111671,30770,905665,175236
,Indonesia,2020-07-20,88214,4239,46977,36998
,Indonesia,2021-06-10,1885942,52373,1728914,104655
,Indonesia,2020-09-14,221523,8841,158405,54277
,Indonesia,2022-10-07,6442624,158192,,
,Indonesia,2020-11-09,440569,14689,372266,53614
,Indonesia,2022-09-08,6385140,157729,,
,Indonesia,2021-11-18,4252345,143709,,
,Indonesia,2021-02-06,1147010,31393,939184,176433
,Indonesia,2021-12-23,4261208,144042,,
,Indonesia,2022-08-25,6334357,157457,,
,Indonesia,2022-05-16,6050958,156464,,
,Indonesia,2020-08-22,151498,6594,105198,39706
,Indonesia,2020-10-30,406945,13782,334295,58868
,Indonesia,2021-08-26,4043736,130182,,
,Indonesia,2020-03-02,2,0,0,
,Indonesia,2021-07-05,2313829,61140,1942690,309999
,Indonesia,2020-05-19,18496,1221,4467,12808
,Indonesia,2022-11-17,6590113,159291,,
,Indonesia,2021-04-07,1547376,42064,1391742,113570
,Indonesia,2020-03-25,790,58,31,701
,Indonesia,2020-09-27,275213,10386,203014,61813
,Indonesia,2021-11-30,4256409,143830,,
,Indonesia,2022-02-18,5089637,146044,,
,Indonesia,2021-09-21,4195958,140805,,
,Indonesia,2022-05-01,6047040,156273,,
,Indonesia,2020-04-14,4839,459,426,3954
,Indonesia,2020-10-07,315714,11472,240291,63951
,Indonesia,2022-08-10,6261605,157149,,
,Indonesia,2021-01-25,999256,28132,809488,161636
,Indonesia,2021-04-09,1558145,42348,1405659,110138
,Indonesia,2021-09-07,4140634,137156,,
,Indonesia,2020-05-06,12438,895,2317,9226
,Indonesia,2021-05-15,1736670,47967,1597067,91636
,Indonesia,2022-04-07,6028413,155509,,
,Indonesia,2021-06-23,2033421,55594,1817303,160524
,Indonesia,2021-02-19,1263299,34152,1069005,160142
,Indonesia,2022-02-17,4966046,145622,,
,Indonesia,2020-10-01,291182,10856,218487,61839
,Indonesia,2020-04-21,7135,616,842,5677
,Indonesia,2021-05-18,1748230,48477,1612239,87514
,Indonesia,2022-05-28,6054173,156573,,
,Indonesia,2020-11-19,483518,15600,406612,61306
,Indonesia,2020-06-21,45891,2465,18404,25022
,Indonesia,2021-06-26,2093962,56729,1842457,194776
,Indonesia,2021-08-25,4026837,129293,,
,Indonesia,2022-07-01,6090509,156740,,
,Indonesia,2022-11-18,6596812,159323,,
,Indonesia,2022-06-10,6056017,156604,,
,Indonesia,2020-11-25,511836,16225,429807,65804
,Indonesia,2022-06-22,6072918,156702,,
,Indonesia,2022-04-06,6026324,155464,,
,Indonesia,2020-10-17,357762,12431,281592,63739
,Indonesia,2022-02-06,4516480,144554,,
,Indonesia,2020-05-09,13645,959,2607,10079
,Indonesia,2021-10-20,4237201,143077,,
,Indonesia,2021-05-16,1739750,48093,1600857,90800
,Indonesia,2020-10-20,368842,12734,293653,62455
,Indonesia,2022-11-02,6502659,158695,,
,Indonesia,2020-03-22,514,48,29,437
,Indonesia,2022-09-20,6412944,157930,,
,Indonesia,2021-02-18,1252685,33969,1058222,160494
,Indonesia,2021-11-02,4245373,143457,,
,Indonesia,2021-01-24,989262,27835,798810,162617
,Indonesia,2022-07-04,6095351,156758,,
,Indonesia,2022-03-12,5878910,151951,,
,Indonesia,2022-11-29,6659235,159789,,
,Indonesia,2021-04-06,1542516,41977,1385973,114566
,Indonesia,2020-04-27,9096,765,1151,7180
,Indonesia,2020-04-04,2092,191,150,1751
,Indonesia,2020-12-27,713365,21237,583676,108452
,Indonesia,2021-06-22,2018113,55291,1810136,142719
,Indonesia,2021-05-01,1672880,45652,1526978,100250
,Indonesia,2020-07-30,106336,5058,64292,36986
,Indonesia,2021-04-22,1626812,44172,1481449,101191
,Indonesia,2022-01-24,4289305,144227,,
,Indonesia,2022-02-02,4353370,144320,,
,Indonesia,2022-07-19,6143431,156865,,
,Indonesia,2021-09-08,4147365,137782,,
,Indonesia,2022-03-10,5847900,151413,,
,Indonesia,2021-12-25,4261667,144053,,
,Indonesia,2022-04-19,6041269,155937,,
,Indonesia,2020-03-18,227,19,11,
,Indonesia,2021-12-09,4258560,143918,,
,Indonesia,2021-06-20,1989909,54662,1792528,142719
,Indonesia,2021-02-20,1271353,34316,1078840,158197
,Indonesia,2021-12-26,4261667,144053,,
,Indonesia,2022-03-26,5986830,154343,,
,Indonesia,2021-05-02,1677274,45796,1530718,100760
,Indonesia,2022-07-17,6134953,156849,,
,Indonesia,2020-08-05,116871,5452,73889,37530
